id,name,target,sponsor,status,conditions,phases,last_updated,study_start,study_end,enrollment,primary_outcome,monitor_status,last_monitored_change,details,changed_today
NCT07358260,B7-H3.CD28Z.CART in Solid Tumors,B7-H3,Robbie Majzner,NOT_YET_RECRUITING,"Pediatric Solid Tumor, Neuroblastoma",PHASE1,2026-01-14,2026-06,2031-12-31,40,Manufacturing Success Rate of Autologous B7-H3.CD28Z CART Cells,No Change,2026-02-05,"This is a Phase I, open-label, single-center, dose-escalation study testing the safety and effectiveness of a new cell therapy B7-H3.CD28Z.CART / B7-H3 CAR T cells in children and young adult subjects with relapsed and/or refractory solid tumors expressing B7-H3.

The B7-H3 protein is found in high levels on many pediatric solid tumors (like neuroblastoma, osteosarcoma, and others), this cell therapy uses genetically altered blood cells as an investigational cell product designed to recognize, bind to and help kill cells that express B7-H3.

This is the first time that these specific B7-H3 CAR T cells will be given to humans. There are several other studies using a similar genetically modified version of B7-H3 CAR T cells and other studies have shown that B7-H3 is a safe target.

The U.S. Food and Drug Administration (FDA) has not approved B7-H3 CAR T cells as a treatment for any disease.

The research study procedures include screening for eligibility, in-clinic visits, blood tests, urine tests, electrocardiograms (ECGs), echocardiograms (ECHOs), bone marrow biopsies and aspirations.

It is expected up to 40 people will take part in this research study.

Band of Parents a non-profit organization is supporting this research study by providing funding.",
NCT06500819,Autologous B7-H3 Chimeric Antigen Receptor T Cells in Relapsed/Refractory Solid Tumors,B7-H3,Stanford University,RECRUITING,"Neuroblastoma, Sarcoma, Osteosarcoma",PHASE1,2026-05-01,2024-07-11,2029-07,41,Feasibility of manufacturing autologous T cells,Changed,2026-05-26,The purpose of this study is to test the manufacturing feasibility and safety of intravenous (IV) administration of B7-H3CART in children and young adult subjects with relapsed and/or refractory solid tumors expressing B7-H3 target using a standard 3+3 dose escalation design.,
NCT05515185,B7-H3 Targeting CAR-T Cells Therapy for B7-H3 Positive Solid Tumors,B7-H3,The First People's Hospital of Lianyungang,UNKNOWN,Advanced Solid Tumor,EARLY_PHASE1,2022-08-23,2022-09-09,2024-09-08,30,Dose-limiting toxicity,No Change,2026-02-05,"This is a single-center, single-arm, open-label study. This study is planned to enroll about 30 subjects with advanced solid tumors. Autologous CAR-T cells were then infused intravenously into subjects, in a dose-escalating 3+3 design.",
NCT06778603,B7-H3 NIR Imaging for Osteosarcoma Surgery,B7-H3,Peking University People's Hospital,RECRUITING,"Osteosarcoma, Resection Margins, B7-H3 Probe, Local Recurrence","PHASE1, PHASE2",2025-01-11,2024-01-01,2026-12-31,32,Safety,No Change,2026-04-07,"Complete removal of all tumor tissue with a wide surgical margin is essential for the treatment of osteosarcoma (OS). However, it's difficult, sometimes impossible, to achieve due to the invisible small satellite lesions and blurry tumor boundaries. Besides, intraoperative frozen-section analysis of resection margins of OS is often restricted by the hard tissues around OS, which makes it impossible to know whether a negative margin is achieved. Herein, based on the high expression of B7-H3 in OS, a targeted probe B7H3-IRDye800CW is synthesized by conjugating anti-B7H3 antibody and IRDye800CW. This trial is aimed to investigate R0-resection rate and 2-y local recurrence rate after using this probe in Musculoskeletal tumor surgery for osteosarcoma as well as the safety parameters of this probe in human.",
NCT05942456,Soluble B7-H3 as a Biomarker for Osteosarcoma,B7-H3,Peking University People's Hospital,UNKNOWN,"Biomarker, Progression, Osteosarcoma, Surveillance",N/A,2024-05-11,2023-06-05,2024-12-31,200,correlation of quantity of Protein B7-H3 Expression with clinical evaluation,Changed,2026-06-02,"Increasing data has indicated an association between increased soluble B7-H3 (sB7-H3) levels and unfavorable prognosis in patients with malignancies. However, the level of sB7-H3 and its clinical significance in osteosarcoma are not well known. In this present study, we investigated whether sB7-H3 levels in serum could be as a biomarker for osteosarcoma treatment.",
NCT04077866,B7-H3 CAR-T for Recurrent or Refractory Glioblastoma,B7-H3,"Second Affiliated Hospital, School of Medicine, Zhejiang University",UNKNOWN,"Recurrent Glioblastoma, Refractory Glioblastoma","PHASE1, PHASE2",2022-12-25,2023-06-01,2025-08-01,40,Overall survival (OS),No Change,2026-02-05,"Background

* B7-H3 is expressed in 70% of patients with glioblastoma
* B7-H3 is not expressed in normal tissues especially not in central nervous system. Therefore, it is an attractive GBM target for CAR-T therapy
* The investigators constructed a retroviral vector encoding a chimeric antigen receptor (CAR) targeting B7-H3, which can mediate CAR transfer into patient T cells with high efficiency.

Objectives

* To evaluate the safety and tolerability intratumoral/intracerebroventricular injection of B7-H3 CAR-T when used in between Temozolomide cycles
* To compare the overall survival (OS) and progression-free survival (PFS) of R/R GBM patients treated with B7-H3 CAR-T in between Temozolomide cycles vs Temozolomide alone
* To access the pharmacokinetics and pharmacodynamics of B7-H3 CAR-T in between Temozolomide cycles

Design

* Experimental group: Patients autologous T cells are activated and transduced with retrovirus containing B7-H3 CAR. CAR-T cells are expanded ex vivo and infused back to patients via intratumoral or intracerebroventricular injection through an Ommaya catheter. 3 injections of CAR-T are planned at two different doses with 1-2 weeks intervals. The CAR-T injections occur in between Temozolomide (TMZ) cycles. Temozolomide treatment during the cycles of CAR-T injections will be stopped and resumed next cycle. Patients may receive additional CAR-T cycles at the discretion of the principal investigator and oncologist.
* Control group: Patients will receive regular cycles of Temozolomide treatment with 5 days of treatment and 23 days of interval.",
NCT05474378,B7-H3 Chimeric Antigen Receptor T Cells (B7-H3CART) in Recurrent Glioblastoma Multiforme,B7-H3,Stanford University,RECRUITING,Brain and Nervous System,PHASE1,2026-04-01,2022-07-12,2026-08,39,Number of successful manufacturing product (B7-H3CART) that met minimum assigned dose level range,No Change,2026-04-08,"This is an open label, non-randomized, single site Phase I study to test the manufacturing feasibility and safety of locoregional (LR) administration of B7-H3CART into the central nervous system of adult subjects with recurrent IDH wild-type GBM using a standard 3+3 dose escalation design.",
NCT04897321,B7-H3-Specific Chimeric Antigen Receptor Autologous T-Cell Therapy for Pediatric Patients With Solid Tumors (3CAR),B7-H3,St. Jude Children's Research Hospital,RECRUITING,"Pediatric Solid Tumor, Osteosarcoma, Rhabdomyosarcoma, Neuroblastoma, Ewing Sarcoma, Wilms Tumor, Adrenocortical Cancer, Desmoplastic Small Round Cell Tumor, Germ Cell Cancer, Rhabdoid Tumor, Clear Cell Sarcoma, Hepatoblastoma, Melanoma, Carcinoma, Malignant Peripheral Nerve Sheath Tumors, Soft Tissue Sarcoma",PHASE1,2026-05-18,2022-07-06,2028-03-01,48,Safety of B7-H3-CAR T cells,Changed,2026-05-26,"Treatment will include a single infusion of B7-H3-CAR T cells after lymphodepleting chemotherapy, with dosing based on the number of CAR+ T cells and patient weight. The study will evaluate the safety and maximum tolerated dose (MTD) of B7-H3-CAR T cells, using a standard 3+3 study design and a 6-week evaluation period. The total study duration will be 1 year, at which point patients will enroll on our existing institutional long-term follow-up protocol.",
NCT06158139,Autologous CAR-T Cells Targeting B7-H3 in PDAC,B7-H3,UNC Lineberger Comprehensive Cancer Center,RECRUITING,"Pancreas Cancer, Relapse, Resistant Cancer",PHASE1,2026-06-05,2024-07-18,2030-04,27,Number of participants with adverse event,Changed,2026-06-09,"**[RECENT CHANGES FOUND]**
Field `statusModule.statusVerifiedDate` changed from `2026-03` to `2026-06`
Field `statusModule.lastUpdateSubmitDate` changed from `2026-03-16` to `2026-06-05`
Field `statusModule.lastUpdatePostDateStruct.date` changed from `2026-03-19` to `2026-06-08`

***
This is a phase 1, single-center, open-label study to determine the safety of escalating doses of chimeric antigen receptor T cells (CAR-T) cells targeting the B7-H3 antigen and containing the inducible caspase 9 safety switch (iC9-CAR.B7-H3 T cells) administered to adult subjects with refractory pancreatic ductal adenocarcinoma. The safety of iC9-CAR.B7-H3 T cells will be investigated using a modified 3+3 design with a starting dose of 1 × 106 transduced cells/kg. The data from the dose escalation will be used to determine a recommended phase 2 dose, which will be decided based on the maximum tolerated dose and additional factors such as the ability to manufacture sufficient cells for infusion.

The body has different ways of fighting cancer and other diseases; however, no single way seems perfect. The experimental treatment in this study combines two different ways the body fights cancer, and they are antibodies and T cells. Antibodies are proteins that protect the body from foreign invaders like bacteria. Antibodies work by attaching to these bacteria or substances, which stops them from growing and causing bad effects. T cells are special infection-fighting blood cells that can kill viruses and other cells, including tumor cells. Antibodies and T cells have been used to treat patients with cancer. They both have shown promise, but neither alone has been able to cure most patients. The treatment that is being studied in this study is called autologous T lymphocyte chimeric antigen receptor cells targeted against the B7-H3 antigen and containing inducible caspase 9 safety switch (iC9). The short name for this treatment is iC9.CAR.B7-H3 T cells. For the rest of this consent, we will refer to the iC9.CAR.B7-H3 T cells as the modified CAR-T cells for ease of reading this consent.",True
NCT04385173,Pilot Study of B7-H3 CAR-T in Treating Patients With Recurrent and Refractory Glioblastoma,B7-H3,"Second Affiliated Hospital, School of Medicine, Zhejiang University",UNKNOWN,"Recurrent Glioblastoma, Refractory Glioblastoma",PHASE1,2022-12-25,2022-12-01,2024-05-01,12,Incidence and type of adverse events,No Change,2026-02-05,"Background

* B7-H3 is expressed in 70% of patients with glioblastoma
* B7-H3 is not expressed in normal tissues especially not in central nervous system. Therefore, it is an attractive GBM target for CAR-T therapy
* The investigators constructed a retroviral vector encoding a chimeric antigen receptor (CAR) targeting B7-H3, which can mediate CAR transfer into patient T cells with high efficiency.

Objectives

* To evaluate the safety and tolerability intratumoral/intracerebroventricular injection of B7-H3 CAR-T when used in between Temozolomide cycles
* To compare the overall survival (OS) and progression-free survival (PFS) of R/R GBM patients treated with B7-H3 CAR-T in between Temozolomide cycles to the historical Temozolomide data
* To access the pharmacokinetics and pharmacodynamics of B7-H3 CAR-T in between Temozolomide cycles

Design

Patients autologous T cells are activated and transduced with retrovirus containing B7-H3 CAR. CAR-T cells are expanded ex vivo and infused back to patients via intratumoral or intracerebroventricular injection through an Ommaya catheter. 3 injections of CAR-T are planned at two different doses with 1-2 weeks intervals. The CAR-T injections occur in between Temozolomide (TMZ) cycles. Temozolomide treatment in the cycle of CAR-T injections will be stopped and resumed next cycle. Patients may receive additional CAR-T cycles at the discretion of the principal investigator and oncologist.",
